Name,HM454,HM455,HM466,HM503
Bacteroides,1.01E+12,1.24E+12,7.76E+11,1.16E+12
Faecalibacterium,3.95E+11,3.51E+11,1.69E+11,6705708438
Parabacteroides,1.33E+11,41408435490,20926965740,6652759020
Prevotella,1.02E+11,12420623740,11943025640,13612118460
Sutterella,77897433100,1145020050,59602665840,2335965180
Blautia,76367680200,46084633260,25183655080,28594870790
Alistipes,74334954060,1.87E+11,33709484380,7077707190
Collinsella,50973558220,1.02E+11,12614346160,2818623360
Ruminococcus,46447592420,63707832900,8758657110,9771327990
Clostridium,44027836140,1.15E+11,57538223780,39317600880
Coprococcus,30630527300,48254839300,12580621080,8146994580
Dorea,30046106330,13508112140,77751704420,6991989980
Eubacterium,13870312000,6892553000,16315588100,4689316630
Bifidobacterium,12196408050,48058560900,2319085460,3379283050
Butyricicoccus,11434584100,1908641600,1989869200,2948558830
Roseburia,9201601500,12231378100,2132752300,3802653100
Herbinix,8561640000,2443029400,2210073000,11063178400
Odoribacter,7840894600,11108175100,3569405100,858986300
Slackia,6526728500,171303100,325970350,125172400
Paraprevotella,6485925300,5171081700,9614634300,4331952300
Lachnoclostridium,5117228600,7675061800,4868377430,1.05E+11
Phascolarctobacterium,4433048280,649575870,28796029500,764919650
Subdoligranulum,4308813700,21953840900,2438445310,1004861300
Holdemania,4032353500,90846300,3276429300,1462456800
Porphyromonas,3996531000,4978072200,586563100,1855929100
Oscillibacter,3384529200,23030956400,4083430800,12655233920
Methanobrevibacter,2354871500,2798693800,318213300,54532800
Fusobacterium,2083735200,563471000,447324000,19546300
Anaerotruncus,2081603300,9205244100,6222397200,4073656920
Nitrosopumilus,1996700000,4014200000,15628000,197870000
Marvinbryantia,1892986900,1600781100,768982400,663995000
Fusicatenibacter,1863262000,8069565200,2354867100,232750100
Erysipelatoclostridium,1721842600,136871100,974045400,1320380500
Ruminiclostridium,1585681800,12061257900,730858560,173301000
Streptococcus,1489227900,578004300,2427950900,653454200
Cellulosilyticum,1268836300,93815800,75397320,218138200
Anaerococcus,1250321000,1480660000,0,1631250000
Flavonifractor,1123277500,3310782400,494678650,19779437100
Catenibacterium,1113017400,270448690,30413000,91197890
Lactobacillus,988952940,6745446300,1922893000,1872527300
Anaerobium,916530000,467221600,161350000,642150000
Corallococcus,904680000,1089601900,962765100,1068732500
Klebsiella,875576100,259929100,235930900,228610100
Lachnoanaerobaculum,848108300,1185553500,38848500,4920900
Anaerostipes,749664600,134036500,337849500,441964950
Dialister,740225500,458891000,1215454500,376458800
Barnesiella,733235500,1838732600,104995200,2359814610
Afipia,713620000,1513100000,252840000,1844200000
Bilophila,555695000,30529212300,1503291820,382835280
Capnocytophaga,499681000,427827000,229677000,396588000
Catonella,439600000,414719000,250960000,173010000
Tyzzerella,424514600,194133500,208845000,1215131100
Hungatella,407369800,2432317500,1326315700,671273300
Acidaminococcus,375097000,539743000,2790300,40044000
Holdemanella,373191200,272954900,1102457300,313230100
Desulfovibrio,359404770,905963690,11873448200,258819400
Shuttleworthia,349882100,61017000,77646000,52587900
Alicyclobacillus,346310000,0,0,0
Desulfitobacterium,344964000,406432000,321761000,190400000
Megasphaera,320762000,206869000,451088900,62658600
Akkermansia,283343100,1023560700,5707388000,651442630
Anaerovibrio,282450000,320144000,214680000,284260000
Anopheles,278170000,0,328210000,0
Staphylococcus,258218400,175291000,173164000,156836000
Tannerella,248478400,1229400300,606856600,869569000
Eggerthella,223616400,79128000,289442400,233183200
Allofrancisella,217650000,0,0,580060000
Rhodobacter,209310000,443430000,112890000,220691000
Atopobium,209013500,722137800,46829500,43118400
Veillonella,203459300,150750100,504745400,13517600
Streptomyces,199427000,478851000,0,846146000
Parvimonas,198410000,95181000,256950000,623250000
Olsenella,177842000,169253600,57300200,4893900
Paludibacter,172315100,99246100,37510200,345706000
Bacillus,165986100,250844100,152215000,104395500
Coprobacillus,164072500,89863400,147303700,3132942000
Aeromonas,160830000,0,106850000,51999000
Peptoanaerobacter,133930000,77729000,77281000,16549000
Weissella,121940000,13908000,261500000,11144000
Halopiger,120080000,170550000,154420000,0
Succinatimonas,113248000,100026000,26061300,25790700
Alloprevotella,109126200,27387000,28088000,16524000
Thermosulfidibacter,103670000,0,0,0
Methanomassiliicoccus,103050000,23543000,237130000,2289000
Mycoplasma,102952000,87798500,122623000,42525600
Acyrthosiphon,100460000,721670000,198650000,36813000
Sanguibacteroides,97183700,107597700,99216300,5288900
Thermosipho,96542000,159960000,0,0
Defluviitoga,95108000,0,0,0
Oribacterium,93146000,97046900,173390200,184838500
Fibrobacter,87149000,30524000,43941000,89407000
Euphorbia,83914000,0,50785000,4268000
Paramecium,82617000,0,0,0
Megamonas,82432000,49161000,7726400,10079000
Proteus,81394000,22559000,0,0
Campylobacter,78128000,104006500,24716600,105862100
Flavobacterium,72362000,30055400,361707000,392276000
Proteiniphilum,72218000,103716000,27029000,9103100
Haemonchus,70719000,0,0,0
Hyphomicrobium,68455000,39275000,0,0
Gemella,66216000,19875000,192407900,106417600
Mannheimia,64353000,5785700,12013000,0
Dufourea,64027500,23529000,57392000,115950000
Actinomyces,61677500,80862900,236389000,473908900
Brenneria,58647000,0,0,0
Polaromonas,53777000,38572000,13743000,0
Peptostreptococcus,53422500,77786400,119022000,29896000
Macellibacteroides,52489000,903680000,2182800,0
Camponotus,51084000,6541700,3226700,0
Thermaerobacter,50585000,81886000,23156000,48022000
Ostreococcus,46432000,316090000,68151000,16426000
Tumebacillus,46113000,0,0,0
Legionella,45995000,0,1392000,0
Intestinibacter,44031400,63443000,85036000,419721400
Mitsuokella,43651000,2982800,54555000,5670000
Candidatus Stoquefichus,43563900,0,20960600,371480000
Hymenobacter,42409000,181420000,10899000,0
Sulfurospirillum,41493000,7993200,7976000,14051100
Anaeroglobus,39942000,16997000,22075000,25625000
Thermovenabulum,38558000,41797000,103430000,826830000
Stenotrophomonas,37999000,97481000,27173000,27951000
Methylacidiphilum,37887000,0,0,0
Butyrivibrio,36591700,231288200,29532500,147985500
Robinsoniella,34138000,112107000,264885400,45828000
Stegodyphus,33872000,0,14366000,0
Lactococcus,33815000,21853400,15989000,13355000
Granulicella,31840000,10706000,7968300,22117000
Anoxybacillus,31035000,2202600,60714000,0
Enterobacter,30191900,13567000,522340000,15489500
Ornithobacterium,30098000,5876600,30156000,0
Stomatobaculum,29467400,66045700,194752000,63591000
Turicibacter,29250000,4288400,86953000,0
Thalassiosira,28732000,286120000,22159000,16654000
Roseovarius,28692000,10277000,2354600,1320600
Anaerofustis,28419000,109767400,0,34959100
Asticcacaulis,28356000,84421000,29672000,83456000
Peptoniphilus,27230000,100534000,10340000,69443900
Paenibacillus,26271000,72518000,27649900,330349900
Sinorhizobium,26195000,0,43148000,0
Ardenticatena,26140000,21592000,28117000,0
Dysgonomonas,24841000,7230000,49125900,0
Amycolatopsis,24575000,111450000,83957000,0
Granulicatella,23814000,31120000,10306000,41521000
Pyramidobacter,23054000,358738000,122963000,130976000
Aerococcus,20158000,48590000,15468000,34082000
Adlercreutzia,20125100,644514600,44560100,27798500
Roseiflexus,19874000,30988000,0,76855000
Treponema,19814900,55750800,9853600,41488000
Anaerosporomusa,19420000,7308200,0,0
Azospirillum,18260100,13326700,53986500,521130000
Niabella,18198000,93678000,30334000,0
Aureimonas,17492000,0,8224800,1075200
Lachnospira,16848100,226954400,57849800,40028000
Coriobacterium,15882500,22112000,0,17804100
Moorella,15724000,39847000,28524000,884630
Oryza,15247000,14956000,26619000,112146400
Planktothrix,15048000,8365600,4471500,9239200
Acidobacterium,14253000,47601000,0,2634700
Mogibacterium,14035000,23503000,0,0
Johnsonella,12432000,40111000,67790000,108030000
Dehalobacter,11783000,38615000,5574700,257420000
Vagococcus,11590000,0,0,0
Candidatus Adiutrix,11174000,25346000,0,0
Devosia,11154000,5685400,0,0
Rhizoctonia,10968000,0,0,0
Ethanoligenens,10669000,3167100,10932000,9015500
Cloacibacillus,10051000,18918000,14235000,114500000
Ruthenibacterium,9788700,24184500,29479000,458444500
Smithella,9576400,26166000,0,0
Coprobacter,9497800,5955900,79967800,3539800
Pleurocapsa,9476800,0,0,0
Dyadobacter,9051400,29872000,16199000,30361000
Pseudoflavonifractor,8912800,212041200,5514600,0
Aciduliprofundum,8890700,19144400,13223000,72924000
Oxobacter,7758900,0,4525600,0
Providencia,7621800,3814500,9246300,0
Mycobacterium,7596200,17886000,2881000,24908000
Leptolyngbya,6652800,22347000,25264000,0
Halomonas,6125500,17773400,16656000,3785900
Waddlia,6108900,6230000,0,0
Lysinibacillus,6040900,0,0,3741400
Faecalitalea,5817200,0,0,0
Tribonema,5749700,0,13751000,0
Acetoanaerobium,5065500,10505000,4826200,2186200
Thermoanaerobaculum,4705800,0,0,0
Lentimicrobium,4693400,0,10764000,65764000
Candidatus Izimaplasma,4382000,67531000,0,0
Pedobacter,3891200,6126900,4051100,2468700
Catabacter,3706800,17576000,0,0
Labrenzia,3705400,11563000,0,0
Brachyspira,3612100,32312100,51243000,0
Chryseobacterium,3577300,33320000,0,3516700
Schistocephalus,3568500,95724000,0,0
Solobacterium,3382100,115233900,75904000,80555000
Blastopirellula,3310100,19242000,1837300,19658000
Naegleria,3283900,4931900,6826200,24261000
Oreochromis,2438100,4491900,14213100,11791000
Raoultella,2247500,0,5847300,8038900
Acetivibrio,2237100,74398600,3841200,16626500
Vibrio,1921200,44321400,1393000,0
Pirellula,0,1164800000,0,939520000
Agrobacterium,0,0,388700000,23081000
Corynebacterium,0,30220400,13372000,361687000
Ramazzottius,0,0,0,227670000
Trypanosoma,0,204910000,0,64002000
Tepidanaerobacter,0,0,0,180450000
Enterococcus,0,55197000,62328000,54151000
Ascaris,0,245880000,0,0
Pseudarthrobacter,0,123990000,13162000,45251000
Draconibacterium,0,0,10334000,116290000
Selenomonas,0,0,0,113960000
Giardia,0,0,95313000,0
Gordonibacter,0,157066900,1266800,3884000
Dokdonia,0,0,44910000,41239000
Peptoclostridium,0,0,0,87632000
Finegoldia,0,0,0,80636000
Candidatus Solibacter,0,55982000,0,40434000
Candidatus Phytoplasma,0,0,0,72699000
Chelonobacter,0,94915000,12356000,0
Parasutterella,0,111592200,0,0
Thermoanaerobacterium,0,0,0,57858000
Paraclostridium,0,0,0,45899000
Phytophthora,0,11532000,35422000,0
Varibaculum,0,71061000,0,0
Pediococcus,0,0,39073000,0
Haematobacter,0,0,0,41005000
Chlamydia,0,0,30141600,6844100
Helicobacter,0,53005000,0,6040200
Fopius,0,56612000,0,0
Magnetospira,0,32814000,12772000,0
Mageeibacillus,0,0,0,33007000
Thermoanaerobacter,0,22101000,5266800,13520000
Cryptobacterium,0,36943000,9357900,0
Emiliania,0,0,28361000,0
Cecembia,0,11525000,7724400,14006000
Leptomonas,0,32180000,8688800,0
Oryctes,0,0,0,28730000
Fretibacterium,0,29146000,0,10546000
Pseudoxanthomonas,0,43106000,0,0
Volvox,0,0,0,25528000
Rhizobium,0,42057000,0,0
Sphingobacterium,0,41434000,0,0
Variovorax,0,7118100,14679000,4367900
Pseudoramibacter,0,0,21338000,0
Desulfosporosinus,0,19958000,0,8173600
Geobacillus,0,0,0,20280000
Lygus,0,21000000,6963600,0
Roseivirga,0,31888000,0,0
Nitrospira,0,31532000,0,0
Kocuria,0,18579000,6919000,0
Enterorhabdus,0,0,17217000,0
Tetragenococcus,0,15375000,2004600,6914000
Gemmatimonas,0,4001400,0,15679000
Burkholderia,0,28820000,0,0
Geobacter,0,17199000,5459300,0
Pseudobacteroides,0,16312000,5246900,0
Sediminicola,0,20140000,2627400,0
Oxalobacter,0,18996600,0,0
Dietzia,0,12908000,3308100,0
Escherichia,0,0,10579000,0
Streptobacillus,0,0,0,11006000
Alloiococcus,0,0,0,10250000
Propionispora,0,16580000,0,0
Neisseria,0,0,9024700,0
Kandleria,0,13467000,0,0
Weeksella,0,5588800,0,4578700
Oenococcus,0,0,0,7466800
Sporolactobacillus,0,4971200,3815500,0
Mesorhizobium,0,11660000,0,0
Virgibacillus,0,0,0,7020500
Terrisporobacter,0,9996700,0,0
Arcobacter,0,9668900,0,0
Simiduia,0,9512300,0,0
Blastocystis,0,8931600,0,0
Desulfococcus,0,0,4893400,0
Stigmatella,0,5870800,0,0
Alkaliphilus,0,4510900,0,0
Acidimicrobium,0,0,0,0
Faecalibaculum,0,0,0,0
Haemophilus,0,0,0,0
Micromonospora,0,0,0,0
Spirochaeta,0,0,0,0
