,Protein IDs,Genus,KEGG_COG, HM454, HM455, HM466, HM503
0,537937.BLIG_00447,Bifidobacterium,COG3937,8408300,104490000,424890,0
1,764143897-stool1_revised_C912228_1_gene128317,Bacteroides,COG1256,2246500,6374000000,21950000,112850000
2,MH0014_GL0037609,Alistipes,,0,109170000,13493000,0
3,MH0287_GL0030841,Faecalibacterium,COG1164,27989000,71317000,33994000,0
4,MH0267_GL0005581,Bacteroides,COG1256,0,0,706520,495890000
5,SZEY-60A_GL0050370,Roseburia,,0,7702900,0,0
6,DOF007_GL0006080,Clostridium,K01874,0,3409900,214980,0
7,MH0006_GL0179725,Clostridium,K01874,162790000,469400000,110580000,191210000
8,MH0003_GL0011135,Bacteroides,K01867,4877600,0,0,18587000
9,MH0010_GL0031655,Bacteroides,K01867,238220000,266730000,123710000,200920000
10,MH0161_GL0009217,Faecalibacterium,K00703,0,25753000,0,0
11,NOM007_GL0060150,Faecalibacterium,K03737,18454000,29134000,15886000,0
12,MH0188_GL0088109,Eubacterium,K03737,215740000,55935000,170690000,8477600
13,411483.FAEPRAA2165_00243,Faecalibacterium,K03737,687100000,1342800000,109120000,0
14,764447348-stool1_revised_scaffold8985_1_gene27912,Faecalibacterium,K03737,29894000,453730000,0,0
15,MH0342_GL0136612,Faecalibacterium,K03737,929300000,520360000,366290000,19033000
16,O2.UC46-1_GL0109045,Faecalibacterium,K03737,14492000000,36381000000,4665800000,1384700000
17,V1.FI24_GL0004884,Faecalibacterium,K03737,28928000,107000000,0,0
18,MH0003_GL0099583,Bacteroides,COG1592,0,0,26389000,29663000
19,MH0103_GL0048897,Bacteroides,COG1592,4309800,0,135240000,720770000
20,MH0084_GL0007284,Bacteroides,COG1592,813840000,1147900000,633860000,2444200000
21,MH0314_GL0045540,Bacteroides,K01465,0,0,0,40988000
22,MH0129_GL0013460,Bacteroides,K21572,169480000,0,69174000,42585000
23,MH0161_GL0039629,Faecalibacterium,COG4799,124150000,203010000,269150000,2686800
24,T2D-29A_GL0085676,Faecalibacterium,K01604,222250000,138780000,0,0
25,MH0176_GL0148609,Faecalibacterium,COG4799,324700000,92789000,68810000,1317000
26,MH0244_GL0047396,Faecalibacterium,COG4799,1618000000,1431700000,1430000000,12250000
27,MH0423_GL0102349,Faecalibacterium,COG4799,287470000,883650000,134100000,0
28,N001A_GL0013638,Faecalibacterium,COG4799,70349000,63060000,0,1720100
29,MH0230_GL0166823,Akkermansia,K01689,0,0,35592000,0
30,MH0244_GL0071393,Faecalibacterium,K01689,1066000000,521730000,2281500000,6432600
31,MH0423_GL0078022,Faecalibacterium,K01689,462510000,371590000,605930000,0
32,MH0062_GL0004002,Faecalibacterium,K01689,77715000,0,10601000,0
33,MH0227_GL0097420,Faecalibacterium,K01689,136960000,19030000,73830000,0
34,MH0247_GL0012973,Faecalibacterium,K01689,164830000,0,437740000,59117000
35,NLM010_GL0045818,Faecalibacterium,K01689,6670200,0,0,0
36,NLM031_GL0013133,Faecalibacterium,K01689,32928000,25131000,13310000,0
37,MH0119_GL0053282,Faecalibacterium,,16006000,12715000,0,0
38,MH0131_GL0170216,Faecalibacterium,COG4799,1363700000,709030000,129890000,2274500
39,MH0014_GL0075274,Ruminococcus,K00925,340130000,120420000,0,0
40,V1.CD7-0-PN_GL0000512,Bifidobacterium,K01875,4200200,142620000,5473700,57360000
41,MH0185_GL0025811,Faecalibacterium,K01915,0,6647000,0,0
42,159551223-stool1_revised_scaffold24681_1_gene132528,Bacteroides,K21572,0,57438000,77184000,27960000
43,V1.CD36-0_GL0159488,Blautia,K01689,2708200000,1705600000,4270000000,486040000
