,VS,dij_list
0,Acetoanaerobium_vs_Acetivibrio,1.0
1,Acidaminococcus_vs_Acetivibrio,1.0
2,Acidaminococcus_vs_Acetoanaerobium,1.0
3,Acidimicrobium_vs_Acetivibrio,1.0
4,Acidimicrobium_vs_Acetoanaerobium,1.0
5,Acidimicrobium_vs_Acidaminococcus,1.0
6,Acidobacterium_vs_Acetivibrio,1.0
7,Acidobacterium_vs_Acetoanaerobium,1.0
8,Acidobacterium_vs_Acidaminococcus,1.0
9,Acidobacterium_vs_Acidimicrobium,1.0
10,Aciduliprofundum_vs_Acetivibrio,1.0
11,Aciduliprofundum_vs_Acetoanaerobium,1.0
12,Aciduliprofundum_vs_Acidaminococcus,1.0
13,Aciduliprofundum_vs_Acidimicrobium,1.0
14,Aciduliprofundum_vs_Acidobacterium,1.0
15,Actinomyces_vs_Acetivibrio,1.0
16,Actinomyces_vs_Acetoanaerobium,1.0
17,Actinomyces_vs_Acidaminococcus,1.0
18,Actinomyces_vs_Acidimicrobium,1.0
19,Actinomyces_vs_Acidobacterium,1.0
20,Actinomyces_vs_Aciduliprofundum,1.0
21,Acyrthosiphon_vs_Acetivibrio,1.0
22,Acyrthosiphon_vs_Acetoanaerobium,1.0
23,Acyrthosiphon_vs_Acidaminococcus,1.0
24,Acyrthosiphon_vs_Acidimicrobium,1.0
25,Acyrthosiphon_vs_Acidobacterium,1.0
26,Acyrthosiphon_vs_Aciduliprofundum,1.0
27,Acyrthosiphon_vs_Actinomyces,1.0
28,Adlercreutzia_vs_Acetivibrio,1.0
29,Adlercreutzia_vs_Acetoanaerobium,1.0
30,Adlercreutzia_vs_Acidaminococcus,0.9901531793913945
31,Adlercreutzia_vs_Acidimicrobium,1.0
32,Adlercreutzia_vs_Acidobacterium,1.0
33,Adlercreutzia_vs_Aciduliprofundum,1.0
34,Adlercreutzia_vs_Actinomyces,0.9631894789985993
35,Adlercreutzia_vs_Acyrthosiphon,1.0
36,Aerococcus_vs_Acetivibrio,1.0
37,Aerococcus_vs_Acetoanaerobium,1.0
38,Aerococcus_vs_Acidaminococcus,1.0
39,Aerococcus_vs_Acidimicrobium,1.0
40,Aerococcus_vs_Acidobacterium,1.0
41,Aerococcus_vs_Aciduliprofundum,1.0
42,Aerococcus_vs_Actinomyces,0.9749227018142784
43,Aerococcus_vs_Acyrthosiphon,1.0
44,Aerococcus_vs_Adlercreutzia,0.9205638057382454
45,Afipia_vs_Acetivibrio,1.0
46,Afipia_vs_Acetoanaerobium,1.0
47,Afipia_vs_Acidaminococcus,1.0
48,Afipia_vs_Acidimicrobium,1.0
49,Afipia_vs_Acidobacterium,1.0
50,Afipia_vs_Aciduliprofundum,1.0
51,Afipia_vs_Actinomyces,1.0
52,Afipia_vs_Acyrthosiphon,1.0
53,Afipia_vs_Adlercreutzia,1.0
54,Afipia_vs_Aerococcus,1.0
55,Akkermansia_vs_Acetivibrio,1.0
56,Akkermansia_vs_Acetoanaerobium,1.0
57,Akkermansia_vs_Acidaminococcus,1.0
58,Akkermansia_vs_Acidimicrobium,1.0
59,Akkermansia_vs_Acidobacterium,1.0
60,Akkermansia_vs_Aciduliprofundum,1.0
61,Akkermansia_vs_Actinomyces,0.87932790466963
62,Akkermansia_vs_Acyrthosiphon,1.0
63,Akkermansia_vs_Adlercreutzia,0.9601791769000554
64,Akkermansia_vs_Aerococcus,0.981151007390467
65,Akkermansia_vs_Afipia,0.9844226309203924
66,Alistipes_vs_Acetivibrio,0.9998649330777641
67,Alistipes_vs_Acetoanaerobium,0.9999913437960565
68,Alistipes_vs_Acidaminococcus,0.9986465042548436
69,Alistipes_vs_Acidimicrobium,0.9999456309185256
70,Alistipes_vs_Acidobacterium,0.9882992690196881
71,Alistipes_vs_Aciduliprofundum,0.9959130539956967
72,Alistipes_vs_Actinomyces,0.9523106304822032
73,Alistipes_vs_Acyrthosiphon,1.0
74,Alistipes_vs_Adlercreutzia,0.9536166172376692
75,Alistipes_vs_Aerococcus,0.972426402053036
76,Alistipes_vs_Afipia,0.9941533163756165
77,Alistipes_vs_Akkermansia,0.8813601063191213
78,Alkaliphilus_vs_Acetivibrio,1.0
79,Alkaliphilus_vs_Acetoanaerobium,1.0
80,Alkaliphilus_vs_Acidaminococcus,1.0
81,Alkaliphilus_vs_Acidimicrobium,1.0
82,Alkaliphilus_vs_Acidobacterium,1.0
83,Alkaliphilus_vs_Aciduliprofundum,1.0
84,Alkaliphilus_vs_Actinomyces,1.0
85,Alkaliphilus_vs_Acyrthosiphon,1.0
86,Alkaliphilus_vs_Adlercreutzia,1.0
87,Alkaliphilus_vs_Aerococcus,1.0
88,Alkaliphilus_vs_Afipia,1.0
89,Alkaliphilus_vs_Akkermansia,1.0
90,Alkaliphilus_vs_Alistipes,1.0
91,Alloprevotella_vs_Acetivibrio,1.0
92,Alloprevotella_vs_Acetoanaerobium,1.0
93,Alloprevotella_vs_Acidaminococcus,1.0
94,Alloprevotella_vs_Acidimicrobium,1.0
95,Alloprevotella_vs_Acidobacterium,1.0
96,Alloprevotella_vs_Aciduliprofundum,1.0
97,Alloprevotella_vs_Actinomyces,1.0
98,Alloprevotella_vs_Acyrthosiphon,1.0
99,Alloprevotella_vs_Adlercreutzia,1.0
100,Alloprevotella_vs_Aerococcus,1.0
101,Alloprevotella_vs_Afipia,1.0
102,Alloprevotella_vs_Akkermansia,1.0
103,Alloprevotella_vs_Alistipes,0.9989555008876103
104,Alloprevotella_vs_Alkaliphilus,1.0
105,Amycolatopsis_vs_Acetivibrio,1.0
106,Amycolatopsis_vs_Acetoanaerobium,1.0
107,Amycolatopsis_vs_Acidaminococcus,1.0
108,Amycolatopsis_vs_Acidimicrobium,1.0
109,Amycolatopsis_vs_Acidobacterium,1.0
110,Amycolatopsis_vs_Aciduliprofundum,1.0
111,Amycolatopsis_vs_Actinomyces,1.0
112,Amycolatopsis_vs_Acyrthosiphon,1.0
113,Amycolatopsis_vs_Adlercreutzia,1.0
114,Amycolatopsis_vs_Aerococcus,1.0
115,Amycolatopsis_vs_Afipia,0.0
116,Amycolatopsis_vs_Akkermansia,0.9844226309203924
117,Amycolatopsis_vs_Alistipes,0.9941533163756165
118,Amycolatopsis_vs_Alkaliphilus,1.0
119,Amycolatopsis_vs_Alloprevotella,1.0
120,Anaerobium_vs_Acetivibrio,1.0
121,Anaerobium_vs_Acetoanaerobium,1.0
122,Anaerobium_vs_Acidaminococcus,1.0
123,Anaerobium_vs_Acidimicrobium,1.0
124,Anaerobium_vs_Acidobacterium,1.0
125,Anaerobium_vs_Aciduliprofundum,1.0
126,Anaerobium_vs_Actinomyces,1.0
127,Anaerobium_vs_Acyrthosiphon,1.0
128,Anaerobium_vs_Adlercreutzia,1.0
129,Anaerobium_vs_Aerococcus,1.0
130,Anaerobium_vs_Afipia,1.0
131,Anaerobium_vs_Akkermansia,1.0
132,Anaerobium_vs_Alistipes,0.9955951957698098
133,Anaerobium_vs_Alkaliphilus,1.0
134,Anaerobium_vs_Alloprevotella,1.0
135,Anaerobium_vs_Amycolatopsis,1.0
136,Anaerococcus_vs_Acetivibrio,1.0
137,Anaerococcus_vs_Acetoanaerobium,1.0
138,Anaerococcus_vs_Acidaminococcus,1.0
139,Anaerococcus_vs_Acidimicrobium,1.0
140,Anaerococcus_vs_Acidobacterium,1.0
141,Anaerococcus_vs_Aciduliprofundum,1.0
142,Anaerococcus_vs_Actinomyces,0.9969890591885395
143,Anaerococcus_vs_Acyrthosiphon,1.0
144,Anaerococcus_vs_Adlercreutzia,0.99681693926681
145,Anaerococcus_vs_Aerococcus,1.0
146,Anaerococcus_vs_Afipia,1.0
147,Anaerococcus_vs_Akkermansia,0.997443409837695
148,Anaerococcus_vs_Alistipes,0.9909424175757229
